"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Malaysia","2002","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","36640",""
"Malaysia","2002","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","42066",""
"Malaysia","2002","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","40583",""
"Malaysia","2002","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","42433",""
"Malaysia","2002","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","40279",""
"Malaysia","2002","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","41844",""
"Malaysia","2002","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","40683",""
"Malaysia","2002","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","38367",""
"Malaysia","2002","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","42529",""
"Malaysia","2002","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","38861",""
"Malaysia","2002","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","39872",""
"Malaysia","2001","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2007","515985",""
"Malaysia","2001","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","42973",""
"Malaysia","2001","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","38478",""
"Malaysia","2001","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","43515",""
"Malaysia","2001","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","42486",""
"Malaysia","2001","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","44588",""
"Malaysia","2001","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","42853",""
"Malaysia","2001","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","43847",""
"Malaysia","2001","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","42223",""
"Malaysia","2001","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","44043",""
"Malaysia","2001","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","45961",""
"Malaysia","2001","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","43157",""
"Malaysia","2001","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","41861",""
"Malaysia","2000","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2003","545096",""
"Malaysia","2000","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","44178",""
"Malaysia","2000","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","42923",""
"Malaysia","2000","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","46681",""
"Malaysia","2000","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","44580",""
"Malaysia","2000","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","46546",""
"Malaysia","2000","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","44213",""
"Malaysia","2000","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","44165",""
"Malaysia","2000","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","46077",""
"Malaysia","2000","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","44497",""
"Malaysia","2000","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","50213",""
"Malaysia","2000","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","46436",""
"Malaysia","2000","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","44587",""

"footnoteSeqID","Footnote"
"1","Unrevised data."
