id,year,parl_code,won_party_code,won_remarks,total,total_electionday,spoilt,unreturned_ballot,race_malay,race_malay_p,race_indian,race_indian_p,race_chinese,race_chinese_p,race_others,race_iban,race_orgulu,race_bidayuh,race_malanau,race_muslimbumiputera,race_nonmuslimbumiputera,race_bumisabah,race_bumisarawak,race_orgasli,analysis
380,2008,P158,MCA,,62505,48587,1525,0,49,0.0,13,0.0,37,0.0,0,0,0,0,0,0,0,0,0,0,
381,2008,P159,UMNO,,72862,55891,1211,263,48,0.0,11,0.0,40,0.0,0,0,0,0,0,0,0,0,0,0,
382,2008,P160,UMNO,,89725,62440,1391,112,51,0.0,5,0.0,44,0.0,0,0,0,0,0,0,0,0,0,0,
383,2008,P161,UMNO,,79622,56863,1079,161,51,0.0,9,0.0,40,0.0,0,0,0,0,0,0,0,0,0,0,
384,2008,P162,MCA,,78676,60728,2244,75,34,0.0,12,0.0,54,0.0,0,0,0,0,0,0,0,0,0,0,
385,2008,P163,MCA,,67358,53676,1327,59,32,0.0,9,0.0,59,0.0,0,0,0,0,0,0,0,0,0,0,
386,2008,P164,UMNO,,43264,32806,1008,0,68,0.0,1,0.0,31,0.0,0,0,0,0,0,0,0,0,0,0,
387,2008,P165,MCA,,45701,35564,1117,214,50,0.0,1,0.0,49,0.0,0,0,0,0,0,0,0,0,0,0,
388,2008,P166,UMNO,,20783,14149,311,247,37,0.0,2,0.0,25,0.0,36,0,0,0,0,0,0,0,0,0,
389,2008,P167,UMNO,,39643,26551,1058,120,0,0.0,0,0.0,15,0.0,0,0,0,0,0,54,31,0,0,0,
390,2008,P168,PBS,,31938,22199,748,27,0,0.0,0,0.0,3,0.0,0,0,0,0,0,27,70,0,0,0,
391,2008,P169,UMNO,,43071,33710,1046,0,0,0.0,0,0.0,2,0.0,0,0,0,0,0,59,39,0,0,0,
392,2008,P170,UPKO,,40761,30563,979,37,0,0.0,0,0.0,8,0.0,0,0,0,0,0,44,49,0,0,0,
393,2008,P171,SAPP,,39251,26990,790,184,0,0.0,0,0.0,22,0.0,1,0,0,0,0,49,29,0,0,0,
394,2008,P172,DAP,,43714,28017,326,108,0,0.0,0,0.0,78,0.0,1,0,0,0,0,12,9,0,0,0,
395,2008,P173,UPKO,,34935,23296,608,741,0,0.0,0,0.0,24,0.0,1,0,0,0,0,63,13,0,0,0,
396,2008,P174,UPKO,,35821,25552,540,175,0,0.0,0,0.0,33,0.0,1,0,0,0,0,11,55,0,0,0,
397,2008,P175,UMNO,,32279,24913,651,435,0,0.0,0,0.0,12,0.0,0,0,0,0,0,63,25,0,0,0,
398,2008,P176,UMNO,,22239,17367,500,16,0,0.0,0,0.0,7,0.0,0,0,0,0,0,68,25,0,0,0,
399,2008,P177,UMNO,,26788,19346,681,19,0,0.0,0,0.0,12,0.0,0,0,0,0,0,63,26,0,0,0,
400,2008,P178,UMNO,,24145,18211,531,16,0,0.0,0,0.0,5,0.0,0,0,0,0,0,81,14,0,0,0,
401,2008,P179,UPKO,,30810,22201,653,32,0,0.0,0,0.0,3,0.0,0,0,0,0,0,39,58,0,0,0,
402,2008,P180,PBS,,35578,25956,464,0,0,0.0,0,0.0,11,0.0,0,0,0,0,0,24,65,0,0,0,
403,2008,P181,UMNO,,20874,15705,523,11,0,0.0,0,0.0,17,0.0,0,0,0,0,0,25,57,0,0,0,
404,2008,P182,PBRS,,19712,0,0,0,0,0.0,0,0.0,2,0.0,0,0,0,0,0,12,85,0,0,0,
405,2008,P183,UMNO,,19181,12349,468,36,0,0.0,0,0.0,2,0.0,0,0,0,0,0,61,37,0,0,0,
406,2008,P184,UMNO,,31435,20536,613,116,0,0.0,0,0.0,23,0.0,0,0,0,0,0,72,5,0,0,0,
407,2008,P185,PBS,,26004,16398,730,418,0,0.0,0,0.0,37,0.0,0,0,0,0,0,60,2,0,0,0,
408,2008,P186,LDP,,32847,20048,644,57,0,0.0,0,0.0,61,0.0,0,0,0,0,0,35,4,0,0,0,
409,2008,P187,UMNO,,19554,12814,589,22,0,0.0,0,0.0,1,0.0,0,0,0,0,0,92,6,0,0,0,
410,2008,P188,UMNO,,43488,27557,989,138,0,0.0,0,0.0,14,0.0,1,0,0,0,0,72,12,0,0,0,
411,2008,P189,UMNO,,35216,22209,832,1,0,0.0,0,0.0,3,0.0,0,0,0,0,0,93,5,0,0,0,
412,2008,P190,SAPP,,42560,27071,735,39,0,0.0,0,0.0,44,0.0,1,0,0,0,0,51,4,0,0,0,
413,2008,P191,UMNO,,36018,0,0,0,0,0.0,0,0.0,13,0.0,2,0,0,0,0,78,8,0,0,0,
414,2008,P192,SPDP,,21968,14800,188,29,0,0.0,0,0.0,23,0.0,0,1,0,71,5,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78810\"" target=\""_blank\"" class=\""analysis\"">Two Bidayuh doctors and cousins in Round 3: Why?</a>"
415,2008,P193,PBB,,30836,19959,248,56,0,0.0,0,0.0,6,0.0,1,2,0,0,91,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78822\"" target=\""_blank\"" class=\""analysis\"">PKR men harassed by 'buyers'</a>"
416,2008,P194,PBB,,40533,25027,263,131,0,0.0,0,0.0,12,0.0,2,5,0,1,91,0,0,0,0,0,
417,2008,P195,DAP,,53216,36257,242,165,0,0.0,0,0.0,90,0.0,1,2,0,1,6,0,0,0,0,0,
418,2008,P196,SUPP,,67257,43922,428,434,0,0.0,0,0.0,78,0.0,1,4,0,5,11,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/79040\"" target=\""_blank\"" class=\""analysis\"">'DAP: Threat leads to ceramah cancellation'</a>"
419,2008,P197,PBB,,28517,21428,449,374,0,0.0,0,0.0,2,0.0,5,47,7,0,40,0,0,0,0,0,"- <a href=\""http://www.malaysiakini.com/news/78822\"" target=\""_blank\"" class=\""analysis\"">PKR men harassed by 'buyers'</a>"
420,2008,P198,PBB,,36147,22306,473,126,0,0.0,0,0.0,25,0.0,0,0,0,70,5,0,0,0,0,0,
421,2008,P199,SUPP,,27901,18516,332,25,0,0.0,0,0.0,12,0.0,0,9,0,72,7,0,0,0,0,0,
422,2008,P200,PBB,,16794,11120,170,9,0,0.0,0,0.0,7,0.0,0,27,0,0,67,0,0,0,0,0,
423,2008,P201,PBB,,22417,14393,193,12,0,0.0,0,0.0,4,0.0,2,24,0,0,70,0,0,0,0,0,
424,2008,P202,PRS,,25724,15513,211,154,0,0.0,0,0.0,16,0.0,0,66,0,0,18,0,0,0,0,0,
425,2008,P203,PRS,,17190,12028,99,1,0,0.0,0,0.0,9,0.0,0,90,0,0,2,0,0,0,0,0,
426,2008,P204,PBB,,22088,15953,246,0,0,0.0,0,0.0,5,0.0,0,61,0,0,34,0,0,0,0,0,
427,2008,P205,SPDP,,23982,16467,218,15,0,0.0,0,0.0,7,0.0,0,57,0,0,35,0,0,0,0,0,
428,2008,P206,PBB,,17052,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,
429,2008,P207,PBB,,15735,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,
430,2008,P208,SUPP,,31675,22246,176,179,0,0.0,0,0.0,67,0.0,0,25,0,0,8,0,0,0,0,0,
431,2008,P209,PRS,,20306,13313,182,13,0,0.0,0,0.0,6,0.0,0,93,0,0,1,0,0,0,0,0,
432,2008,P210,PRS,,17613,0,0,0,0,0.0,0,0.0,15,0.0,0,82,0,0,3,0,0,0,0,0,
433,2008,P211,SUPP,,49530,34443,253,102,0,0.0,0,0.0,73,0.0,0,22,0,0,6,0,0,0,0,0,
434,2008,P212,SUPP,,53679,36379,334,192,0,0.0,0,0.0,60,0.0,1,18,1,0,20,0,0,0,0,0,
435,2008,P213,PBB,,22851,14435,521,32,0,0.0,0,0.0,10,0.0,0,19,0,0,71,0,0,0,0,0,
436,2008,P214,PRS,,20057,0,0,0,0,0.0,0,0.0,5,0.0,0,91,2,0,2,0,0,0,0,0,
437,2008,P215,PBB,,22723,0,0,0,0,0.0,0,0.0,11,0.0,0,86,0,0,3,0,0,0,0,0,
438,2008,P216,PRS,,17696,11164,139,9,0,0.0,0,0.0,1,0.0,0,61,36,0,2,0,0,0,0,0,
439,2008,P217,SPDP,,50404,32629,288,50,0,0.0,0,0.0,26,0.0,0,49,0,0,24,0,0,0,0,0,"<a href=\""http://www.malaysiakini.com/news/78637\"" target=\""_blank\"" class=\""analysis\"">'Misunderstood' Bintulu incumbent earns respect of foes</a>\n"
440,2008,P218,PBB,,22143,13030,192,10,0,0.0,0,0.0,22,0.0,0,0,0,0,46,0,0,0,0,0,
441,2008,P219,SUPP,,55963,33969,273,204,0,0.0,0,0.0,55,0.0,3,28,8,0,6,0,0,0,0,0,
442,2008,P220,SPDP,,24425,12126,167,11,0,0.0,0,0.0,13,0.0,0,38,43,0,6,0,0,0,0,0,
443,2008,P221,PBB,,20315,12380,113,89,0,0.0,0,0.0,24,0.0,0,21,12,0,44,0,0,0,0,0,
444,2008,P222,PBB,,15717,9342,82,0,0,0.0,0,0.0,16,0.0,0,9,15,0,60,0,0,0,0,0,
669,2013,P1,UMNO,,41974,36051,531,0,35996,85.59,395,0.94,3987,9.48,1680,0,0,0,0,0,0,0,0,0,
670,2013,P2,UMNO,,51207,43309,660,0,41442,80.75,898,1.75,8200,15.98,782,0,0,0,0,0,0,0,0,0,
671,2013,P3,UMNO,,43876,38312,525,0,38403,87.34,724,1.65,3585,8.15,1257,0,0,0,0,0,0,0,0,0,
672,2013,P4,UMNO,,37536,31877,744,0,34082,90.63,909,2.42,2423,6.44,191,0,0,0,0,0,0,0,0,0,
673,2013,P5,UMNO,,52383,45782,730,0,47578,90.61,59,0.11,3959,7.54,911,0,0,0,0,0,0,0,0,0,
674,2013,P6,UMNO,,65550,57058,834,0,56071,85.38,2535,3.86,6092,9.28,973,0,0,0,0,0,0,0,0,0,
675,2013,P7,UMNO,,41960,37800,691,0,38713,92.08,75,0.18,604,1.44,2653,0,0,0,0,0,0,0,0,0,
676,2013,P8,PAS,,80714,69309,848,0,64334,79.51,1862,2.3,14190,17.54,530,0,0,0,0,0,0,0,0,0,
677,2013,P9,PKR,,69009,57712,1070,0,42367,61.23,3203,4.63,23254,33.61,365,0,0,0,0,0,0,0,0,0,
678,2013,P10,PKR,,95328,82005,1212,0,73960,77.42,1373,1.44,19871,20.8,330,0,0,0,0,0,0,0,0,0,
679,2013,P11,UMNO,,70135,62451,759,0,61937,88.14,396,0.56,3978,5.66,3962,0,0,0,0,0,0,0,0,0,
680,2013,P12,UMNO,,74410,64614,952,0,58685,78.68,4665,6.25,10998,14.75,235,0,0,0,0,0,0,0,0,0,
